12 h yield (%)
16
4
44
10
27
21
89
31
14
52
8
9
38
77
20
68
43
52
3
12
25
27
47
11
18
85
15
12
14
29
86
35
19
21
71
25
52
17
72
98
11
27
53
2
0
30
4
13
53
22
35
21
70
31
4
3
48
41
31
8
2
28
8
85
25
10
30
22
85
63
12
10
30
9
5
8
72
27
78
32
16
65
11
74
72
83
2
40
93
24
1
42
4
42
7
82
2
19
37
50
31
